delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved,worker_id
2,bid,worlds/l/grasp_easy.json,4,1.1990734220511512,0.96699226,29.009766,0.9213867,0.9091797,0
2,bid,worlds/l/catapult.json,4,1.1990734220511512,5.7688317,173.06494,0.40722656,0.39208984,0
2,naive,worlds/l/grasp_easy.json,5,0.654940528399311,0.9427572,28.282715,0.7885742,0.82177734,0
2,naive,worlds/l/catapult.json,5,0.654940528399311,5.975619,179.26855,0.37695312,0.35888672,0
2,discrete_rtc,worlds/l/grasp_easy.json,5,0.6574581146007403,1.0516276,31.548828,0.8613281,0.87109375,0
2,discrete_rtc,worlds/l/catapult.json,5,0.6574581146007403,5.138428,154.15283,0.4970703,0.48242188,0
2,bid,worlds/l/grasp_easy.json,5,1.2009594674978872,0.9676758,29.030273,0.90966797,0.9033203,0
2,bid,worlds/l/catapult.json,5,1.2009594674978872,5.743376,172.30127,0.41210938,0.39160156,0
2,naive,worlds/l/grasp_easy.json,6,0.6495764165505534,0.9550131,28.65039,0.74609375,0.79589844,0
2,naive,worlds/l/catapult.json,6,0.6495764165505534,5.8456707,175.37012,0.3955078,0.37890625,0
2,discrete_rtc,worlds/l/grasp_easy.json,6,0.6691670008993242,1.0021647,30.064941,0.9267578,0.92333984,0
2,discrete_rtc,worlds/l/catapult.json,6,0.6691670008993242,4.940853,148.22559,0.5263672,0.51171875,0
2,bid,worlds/l/grasp_easy.json,6,1.2105025258497335,0.98518884,29.555664,0.8828125,0.8876953,0
2,bid,worlds/l/catapult.json,6,1.2105025258497335,5.7483077,172.44922,0.4091797,0.39453125,0
3,naive,worlds/l/grasp_easy.json,3,0.6551107492472511,1.0173178,30.519531,0.7866211,0.80615234,0
3,naive,worlds/l/catapult.json,3,0.6551107492472511,6.045443,181.36328,0.3671875,0.3461914,0
3,discrete_rtc,worlds/l/grasp_easy.json,3,0.6569805475475732,0.9746908,29.240723,0.9350586,0.92089844,0
3,discrete_rtc,worlds/l/catapult.json,3,0.6569805475475732,4.7558923,142.67676,0.5522461,0.53759766,0
