delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
3,bid,worlds/l/mjc_half_cheetah.json,3,1.2473580267978832,3.2451663,97.35498,0.77246094,0.7368164
3,bid,worlds/l/mjc_swimmer.json,3,1.2473580267978832,8.505697,255.1709,0.026855469,0.022460938
4,naive,worlds/l/hard_lunar_lander.json,4,0.736767124151811,1.4952149,44.856445,0.5209961,0.60791016
4,naive,worlds/l/mjc_half_cheetah.json,4,0.736767124151811,4.4405437,133.21631,0.5283203,0.53125
4,naive,worlds/l/mjc_swimmer.json,4,0.736767124151811,8.515479,255.46436,0.015136719,0.012207031
4,discrete_rtc,worlds/l/hard_lunar_lander.json,4,0.7257851198955905,1.4235516,42.706543,0.75927734,0.7866211
4,discrete_rtc,worlds/l/mjc_half_cheetah.json,4,0.7257851198955905,2.6739585,80.21875,0.78759766,0.7661133
4,discrete_rtc,worlds/l/mjc_swimmer.json,4,0.7257851198955905,8.487305,254.61914,0.036132812,0.03125
4,bid,worlds/l/hard_lunar_lander.json,4,1.1637806508515496,1.4758139,44.274414,0.48779297,0.5883789
4,bid,worlds/l/mjc_half_cheetah.json,4,1.1637806508515496,3.9485679,118.45703,0.58740234,0.57910156
4,bid,worlds/l/mjc_swimmer.json,4,1.1637806508515496,8.5085945,255.25781,0.020507812,0.018066406
0,naive,worlds/l/mjc_walker.json,1,0.7006016418454237,5.7372723,172.11816,0.90722656,0.80566406
0,naive,worlds/l/h17_unicycle.json,1,0.7006016418454237,2.5683107,77.04932,0.96728516,0.95654297
0,naive,worlds/l/chain_lander.json,1,0.7006016418454237,1.5546876,46.640625,0.99316406,0.92578125
0,discrete_rtc,worlds/l/mjc_walker.json,1,0.7193065251514781,5.7325687,171.97705,0.9082031,0.79785156
0,discrete_rtc,worlds/l/h17_unicycle.json,1,0.7193065251514781,2.5683107,77.04932,0.96728516,0.95654297
0,discrete_rtc,worlds/l/chain_lander.json,1,0.7193065251514781,1.5546876,46.640625,0.99316406,0.92578125
0,bid,worlds/l/mjc_walker.json,1,1.420753712550504,5.5256515,165.76953,0.95703125,0.86083984
0,bid,worlds/l/h17_unicycle.json,1,1.420753712550504,2.4690595,74.07178,0.99609375,0.99072266
0,bid,worlds/l/chain_lander.json,1,1.420753712550504,1.5586264,46.75879,0.99121094,0.9272461
1,naive,worlds/l/mjc_walker.json,1,0.7013661256467458,5.8294764,174.88428,0.7973633,0.71972656
1,naive,worlds/l/h17_unicycle.json,1,0.7013661256467458,3.735433,112.06299,0.23242188,0.4038086
1,naive,worlds/l/chain_lander.json,1,0.7013661256467458,1.5652344,46.95703,0.99609375,0.92626953
1,discrete_rtc,worlds/l/mjc_walker.json,1,0.7010341202490963,5.635873,169.07617,0.9033203,0.81933594
1,discrete_rtc,worlds/l/h17_unicycle.json,1,0.7010341202490963,2.4911623,74.73486,0.9868164,0.96533203
1,discrete_rtc,worlds/l/chain_lander.json,1,0.7010341202490963,1.5745769,47.237305,0.9951172,0.9482422
1,bid,worlds/l/mjc_walker.json,1,1.1648663547472098,5.511133,165.33398,0.8300781,0.7832031
1,bid,worlds/l/h17_unicycle.json,1,1.1648663547472098,2.8688152,86.06445,0.76953125,0.82128906
1,bid,worlds/l/chain_lander.json,1,1.1648663547472098,1.5738282,47.214844,0.99365234,0.94677734
2,naive,worlds/l/mjc_walker.json,2,0.6784049687965308,6.4188967,192.5669,0.4477539,0.47021484
2,naive,worlds/l/h17_unicycle.json,2,0.6784049687965308,2.8142743,84.42822,0.2607422,0.484375
2,naive,worlds/l/chain_lander.json,2,0.6784049687965308,1.6184083,48.552246,0.99365234,0.9453125
2,discrete_rtc,worlds/l/mjc_walker.json,2,0.6818807641975582,5.7358403,172.0752,0.78466797,0.75341797
2,discrete_rtc,worlds/l/h17_unicycle.json,2,0.6818807641975582,2.532292,75.96875,0.9272461,0.9370117
2,discrete_rtc,worlds/l/chain_lander.json,2,0.6818807641975582,1.5849285,47.54785,0.9970703,0.9291992
2,bid,worlds/l/mjc_walker.json,2,1.1733179554459638,6.2365727,187.09717,0.5258789,0.5239258
2,bid,worlds/l/h17_unicycle.json,2,1.1733179554459638,2.8520834,85.5625,0.60498047,0.71777344
2,bid,worlds/l/chain_lander.json,2,1.1733179554459638,1.6162436,48.487305,0.99121094,0.9379883
3,naive,worlds/l/mjc_walker.json,3,0.6822853434481658,7.158806,214.76416,0.095214844,0.17578125
3,naive,worlds/l/h17_unicycle.json,3,0.6822853434481658,2.523112,75.69336,-0.064453125,0.28320312
3,naive,worlds/l/chain_lander.json,3,0.6822853434481658,1.6573243,49.719727,0.9873047,0.9345703
3,discrete_rtc,worlds/l/mjc_walker.json,3,0.6896830439509358,5.801221,174.03662,0.6928711,0.66845703
3,discrete_rtc,worlds/l/h17_unicycle.json,3,0.6896830439509358,2.601058,78.03174,0.9428711,0.9511719
3,discrete_rtc,worlds/l/chain_lander.json,3,0.6896830439509358,1.6301596,48.904785,0.9897461,0.9350586
3,bid,worlds/l/mjc_walker.json,3,1.2598425840958953,6.5065923,195.19775,0.22802734,0.29882812
3,bid,worlds/l/h17_unicycle.json,3,1.2598425840958953,2.7852051,83.55615,0.17871094,0.421875
