delay,method,level,execute_horizon,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
3,naive,worlds/l/h17_unicycle.json,3,3.213021,96.390625,0.6411133,0.7504883
3,discrete_rtc,worlds/l/mjc_walker.json,3,5.8666835,176.00049,0.71240234,0.7036133
3,discrete_rtc,worlds/l/h17_unicycle.json,3,2.5434897,76.30469,0.95410156,0.9604492
3,bid,worlds/l/mjc_walker.json,3,5.9482913,178.44873,0.5024414,0.5307617
3,bid,worlds/l/h17_unicycle.json,3,3.1449547,94.34863,0.73339844,0.81347656
4,naive,worlds/l/mjc_walker.json,4,6.087061,182.61182,0.06347656,0.20751953
4,naive,worlds/l/h17_unicycle.json,4,3.8350263,115.05078,0.3310547,0.51171875
4,discrete_rtc,worlds/l/mjc_walker.json,4,6.2107425,186.32227,0.4404297,0.4921875
4,discrete_rtc,worlds/l/h17_unicycle.json,4,2.5522463,76.56738,0.6455078,0.75146484
4,bid,worlds/l/mjc_walker.json,4,6.06084,181.8252,0.13720703,0.28222656
4,bid,worlds/l/h17_unicycle.json,4,3.6736166,110.208496,0.41503906,0.57421875
0,naive,worlds/l/chain_lander.json,1,1.5950847,47.85254,0.9941406,0.9296875
0,naive,worlds/l/catcher_v3.json,1,2.1599936,64.799805,1.0,0.9667969
0,discrete_rtc,worlds/l/chain_lander.json,1,1.5950847,47.85254,0.9941406,0.9296875
0,discrete_rtc,worlds/l/catcher_v3.json,1,2.1603518,64.81055,1.0,0.9663086
0,bid,worlds/l/chain_lander.json,1,1.5857748,47.573242,0.99609375,0.9355469
0,bid,worlds/l/catcher_v3.json,1,2.1612468,64.8374,0.99902344,0.9790039
1,naive,worlds/l/chain_lander.json,1,1.5941081,47.823242,0.9951172,0.93310547
1,naive,worlds/l/catcher_v3.json,1,2.240446,67.21338,0.8378906,0.86572266
1,discrete_rtc,worlds/l/chain_lander.json,1,1.5904298,47.71289,0.9951172,0.9501953
1,discrete_rtc,worlds/l/catcher_v3.json,1,2.1530437,64.59131,0.99902344,0.9746094
1,bid,worlds/l/chain_lander.json,1,1.5896974,47.690918,1.0,0.94433594
1,bid,worlds/l/catcher_v3.json,1,2.2069175,66.20752,0.9667969,0.9472656
2,naive,worlds/l/chain_lander.json,2,1.6176108,48.52832,0.99658203,0.94677734
2,naive,worlds/l/catcher_v3.json,2,2.2348633,67.0459,0.421875,0.59277344
2,discrete_rtc,worlds/l/chain_lander.json,2,1.5991538,47.97461,0.99609375,0.9458008
2,discrete_rtc,worlds/l/catcher_v3.json,2,2.1851401,65.5542,0.98779297,0.97558594
2,bid,worlds/l/chain_lander.json,2,1.6177247,48.53174,0.9995117,0.94677734
2,bid,worlds/l/catcher_v3.json,2,2.2293458,66.88037,0.67529297,0.7524414
3,naive,worlds/l/chain_lander.json,3,1.6537273,49.611816,0.99316406,0.9433594
3,naive,worlds/l/catcher_v3.json,3,2.2182782,66.54834,0.1616211,0.41455078
3,discrete_rtc,worlds/l/chain_lander.json,3,1.6526368,49.5791,0.9916992,0.9379883
3,discrete_rtc,worlds/l/catcher_v3.json,3,2.2091148,66.27344,0.9301758,0.9350586
3,bid,worlds/l/chain_lander.json,3,1.6490724,49.472168,0.9921875,0.9428711
3,bid,worlds/l/catcher_v3.json,3,2.2272136,66.81641,0.33984375,0.53125
4,naive,worlds/l/chain_lander.json,4,1.7377442,52.132324,0.98339844,0.9350586
4,naive,worlds/l/catcher_v3.json,4,2.2201824,66.60547,-0.010253906,0.2998047
4,discrete_rtc,worlds/l/chain_lander.json,4,1.6854494,50.563477,0.9868164,0.9453125
4,discrete_rtc,worlds/l/catcher_v3.json,4,2.2387533,67.1626,0.80029297,0.83496094
4,bid,worlds/l/chain_lander.json,4,1.7798666,53.395996,0.98339844,0.94677734
4,bid,worlds/l/catcher_v3.json,4,2.223991,66.71973,0.083984375,0.36279297
0,naive,worlds/l/trampoline.json,1,5.345801,160.37402,0.5317383,0.6582031
0,naive,worlds/l/car_launch.json,1,1.6467286,49.401855,0.9863281,0.96484375
0,discrete_rtc,worlds/l/trampoline.json,1,5.345801,160.37402,0.5317383,0.6582031
0,discrete_rtc,worlds/l/car_launch.json,1,1.6467286,49.401855,0.9863281,0.96533203
0,bid,worlds/l/trampoline.json,1,5.615658,168.46973,0.8095703,0.84277344
0,bid,worlds/l/car_launch.json,1,1.6271323,48.813965,0.98828125,0.96240234
1,naive,worlds/l/trampoline.json,1,5.0421877,151.26562,0.47460938,0.53515625
1,naive,worlds/l/car_launch.json,1,2.2721682,68.16504,0.6660156,0.75634766
1,discrete_rtc,worlds/l/trampoline.json,1,5.6942225,170.82666,0.6977539,0.7636719
1,discrete_rtc,worlds/l/car_launch.json,1,1.8316407,54.94922,0.95751953,0.9404297
1,bid,worlds/l/trampoline.json,1,5.7417483,172.25244,0.765625,0.7915039
1,bid,worlds/l/car_launch.json,1,2.5170085,75.510254,0.76416016,0.79589844
2,naive,worlds/l/trampoline.json,2,6.007471,180.22412,0.63964844,0.6928711
2,naive,worlds/l/car_launch.json,2,3.2428062,97.28418,0.62158203,0.6699219
2,discrete_rtc,worlds/l/trampoline.json,2,6.0163903,180.4917,0.73876953,0.78222656
2,discrete_rtc,worlds/l/car_launch.json,2,2.3412435,70.237305,0.8544922,0.8486328
2,bid,worlds/l/trampoline.json,2,6.0459313,181.37793,0.67041016,0.71728516
2,bid,worlds/l/car_launch.json,2,3.0701337,92.104004,0.6542969,0.6948242
3,naive,worlds/l/trampoline.json,3,5.518376,165.55127,0.37548828,0.5053711
3,naive,worlds/l/car_launch.json,3,2.4119468,72.3584,0.23583984,0.4658203
3,discrete_rtc,worlds/l/trampoline.json,3,5.9852543,179.55762,0.75097656,0.78125
3,discrete_rtc,worlds/l/car_launch.json,3,2.6467612,79.40283,0.6557617,0.7216797
3,bid,worlds/l/trampoline.json,3,5.8328614,174.98584,0.484375,0.5917969
3,bid,worlds/l/car_launch.json,3,2.4254885,72.76465,0.28125,0.5078125
4,naive,worlds/l/trampoline.json,4,5.3486657,160.45996,0.16699219,0.38623047
4,naive,worlds/l/car_launch.json,4,2.5255046,75.76514,-0.029785156,0.296875
4,discrete_rtc,worlds/l/trampoline.json,4,5.810889,174.32666,0.82421875,0.8442383
4,discrete_rtc,worlds/l/car_launch.json,4,2.5259278,75.77783,0.39208984,0.5722656
4,bid,worlds/l/trampoline.json,4,5.5369143,166.10742,0.30322266,0.48388672
4,bid,worlds/l/car_launch.json,4,2.5446942,76.34082,0.0234375,0.32666016
