returned_episode_lengths,returned_episode_returns,returned_episode_solved,delay,method,level,execute_horizon
35.393066,0.98535156,0.96240234,0,naive,worlds/l/grasp_easy.json,3
119.57715,0.6616211,0.6430664,0,naive,worlds/l/catapult.json,3
49.61621,0.99853516,0.99902344,0,naive,worlds/l/cartpole_thrust.json,3
46.668945,0.97216797,0.9296875,0,naive,worlds/l/hard_lunar_lander.json,3
72.60156,0.9941406,0.88183594,0,naive,worlds/l/mjc_half_cheetah.json,3
157.89844,0.99902344,0.89746094,0,naive,worlds/l/mjc_swimmer.json,3
195.75342,0.7285156,0.64746094,0,naive,worlds/l/mjc_walker.json,3
81.84473,0.99853516,0.99853516,0,naive,worlds/l/h17_unicycle.json,3
48.371582,0.9980469,0.95751953,0,naive,worlds/l/chain_lander.json,3
68.42969,0.9892578,0.9760742,0,naive,worlds/l/catcher_v3.json,3
175.63379,0.75,0.7944336,0,naive,worlds/l/trampoline.json,3
50.838867,0.98339844,0.9628906,0,naive,worlds/l/car_launch.json,3
35.37793,0.9868164,0.96191406,0,realtime,worlds/l/grasp_easy.json,3
119.80713,0.66064453,0.6425781,0,realtime,worlds/l/catapult.json,3
49.61621,0.99853516,0.99902344,0,realtime,worlds/l/cartpole_thrust.json,3
46.668945,0.97216797,0.9296875,0,realtime,worlds/l/hard_lunar_lander.json,3
72.54492,0.9951172,0.87646484,0,realtime,worlds/l/mjc_half_cheetah.json,3
157.89844,0.99902344,0.89746094,0,realtime,worlds/l/mjc_swimmer.json,3
194.87842,0.74560547,0.66796875,0,realtime,worlds/l/mjc_walker.json,3
81.84473,0.99853516,0.99853516,0,realtime,worlds/l/h17_unicycle.json,3
48.371582,0.9980469,0.95751953,0,realtime,worlds/l/chain_lander.json,3
68.43701,0.98876953,0.97558594,0,realtime,worlds/l/catcher_v3.json,3
175.6289,0.7504883,0.7944336,0,realtime,worlds/l/trampoline.json,3
50.899414,0.98291016,0.9633789,0,realtime,worlds/l/car_launch.json,3
35.504395,0.9916992,0.96240234,0,bid,worlds/l/grasp_easy.json,3
111.92627,0.6982422,0.6821289,0,bid,worlds/l/catapult.json,3
49.303223,1.0,0.99902344,0,bid,worlds/l/cartpole_thrust.json,3
46.740234,0.9765625,0.9404297,0,bid,worlds/l/hard_lunar_lander.json,3
75.75391,0.99072266,0.8613281,0,bid,worlds/l/mjc_half_cheetah.json,3
160.2622,0.9995117,0.9121094,0,bid,worlds/l/mjc_swimmer.json,3
190.87012,0.78027344,0.71728516,0,bid,worlds/l/mjc_walker.json,3
83.79492,0.99902344,0.99902344,0,bid,worlds/l/h17_unicycle.json,3
48.603027,0.9975586,0.95214844,0,bid,worlds/l/chain_lander.json,3
